,num_actions,action_cost,r,agent,utility
3,20,50,0.25,4,23.678905485218344
4,20,50,0.25,5,25.421044989721082
5,20,50,0.25,7,24.5893276293187
6,20,50,0.25,9,21.741424578035254
7,20,50,0.25,12,16.748200945006378
8,20,50,0.25,15,11.415555823133927
9,20,50,0.25,20,1.9509659776872863
10,20,50,0.25,Optimal,30.313957199283198
11,20,50,0.25,Dynamic,25.7658932339884
0,20,50,0.5,1,21.319021609286263
1,20,50,0.5,2,25.91247433392593
2,20,50,0.5,3,27.148858026485094
3,20,50,0.5,4,26.62974382012229
4,20,50,0.5,5,26.517184721552248
5,20,50,0.5,7,24.481423723683257
6,20,50,0.5,9,21.675333549814226
7,20,50,0.5,12,16.552307992413674
8,20,50,0.5,15,11.215395227811747
9,20,50,0.5,20,1.8842986149899994
10,20,50,0.5,Optimal,32.510871301738355
11,20,50,0.5,Dynamic,27.07429185177027
0,20,50,0.7,1,24.354714642578397
1,20,50,0.7,2,29.692679096456942
2,20,50,0.7,3,29.111354516090856
3,20,50,0.7,4,28.090527990877423
4,20,50,0.7,5,27.20534154373485
5,20,50,0.7,7,24.290677361781864
6,20,50,0.7,9,21.092810314092567
7,20,50,0.7,12,15.988625427552508
8,20,50,0.7,15,10.754986389889668
9,20,50,0.7,20,1.7924977316482775
10,20,50,0.7,Optimal,32.38868117401337
11,20,50,0.7,Dynamic,29.576072829569075
0,20,50,0.8,1,28.593978454930962
1,20,50,0.8,2,30.616676910322408
2,20,50,0.8,3,30.200274441420657
3,20,50,0.8,4,29.444472633572488
4,20,50,0.8,5,27.934329323338883
5,20,50,0.8,7,25.05365958556054
6,20,50,0.8,9,21.474565359051898
7,20,50,0.8,12,16.105924019288924
8,20,50,0.8,15,10.737282679525949
9,20,50,0.8,20,1.789547113254325
10,20,50,0.8,Optimal,33.84765304886903
11,20,50,0.8,Dynamic,30.801606905937106
0,20,50,0.85,1,30.332095807912452
1,20,50,0.85,2,32.24886925939179
2,20,50,0.85,3,31.522653651356983
3,20,50,0.85,4,30.60738330937275
4,20,50,0.85,5,29.125263494052938
5,20,50,0.85,7,25.57722957223608
6,20,50,0.85,9,22.06969469660451
7,20,50,0.85,12,16.581285526052376
8,20,50,0.85,15,11.054190350701587
9,20,50,0.85,20,1.8423650584502644
10,20,50,0.85,Optimal,34.82958606220709
11,20,50,0.85,Dynamic,32.113184455656935
0,20,50,0.9,1,33.86751867292126
1,20,50,0.9,2,33.99474412040722
2,20,50,0.9,3,32.73409913275803
3,20,50,0.9,4,31.06118904932581
4,20,50,0.9,5,29.26585983059184
5,20,50,0.9,7,25.824230128611653
6,20,50,0.9,9,22.20337474356177
7,20,50,0.9,12,16.652531057671332
8,20,50,0.9,15,11.101687371780885
9,20,50,0.9,20,1.8502812286301478
10,20,50,0.9,Optimal,35.828699411456306
11,20,50,0.9,Dynamic,34.768898011959436
0,20,50,0.95,1,34.6919199864918
1,20,50,0.95,2,34.12116818092035
2,20,50,0.95,3,32.972139409860574
3,20,50,0.95,4,31.26574228967995
4,20,50,0.95,5,29.426580978522303
5,20,50,0.95,7,25.74825835620702
6,20,50,0.95,9,22.06993573389173
7,20,50,0.95,12,16.552451800418797
8,20,50,0.95,15,11.034967866945864
9,20,50,0.95,20,1.839161311157644
10,20,50,0.95,Optimal,36.05382502790201
11,20,50,0.95,Dynamic,35.03030424059249
0,20,50,1.0,1,37.24635803023226
1,20,50,1.0,2,35.38404012872064
2,20,50,1.0,3,33.52172222720903
3,20,50,1.0,4,31.659404325697416
4,20,50,1.0,5,29.79708642418581
5,20,50,1.0,7,26.072450621162574
6,20,50,1.0,9,22.34781481813935
7,20,50,1.0,12,16.760861113604516
8,20,50,1.0,15,11.173907409069676
9,20,50,1.0,20,1.8623179015116131
10,20,50,1.0,Optimal,37.24635803023226
11,20,50,1.0,Dynamic,37.24635803023226
0,20,100,0.25,1,4.582893593530091
1,20,100,0.25,2,8.760491857462714
2,20,100,0.25,3,9.911731940117996
3,20,100,0.25,4,9.167784385259349
4,20,100,0.25,5,8.482347892631722
5,20,100,0.25,7,6.5916311941431625
6,20,100,0.25,9,3.5198236697505565
7,20,100,0.25,12,-1.8665203766523701
8,20,100,0.25,15,-7.712565055908442
9,20,100,0.25,20,-17.688729527505867
10,20,100,0.25,Optimal,12.259832720905681
11,20,100,0.25,Dynamic,9.392253037488803
0,20,100,0.5,1,8.400929710502234
1,20,100,0.5,2,10.619153140739442
2,20,100,0.5,3,11.097020508524245
3,20,100,0.5,4,10.632175829645217
4,20,100,0.5,5,9.377766998904445
5,20,100,0.5,7,6.649638460000123
6,20,100,0.5,9,3.394857501870927
7,20,100,0.5,12,-1.7276763746523947
8,20,100,0.5,15,-6.947850710451064
9,20,100,0.5,20,-15.712325969967393
10,20,100,0.5,Optimal,13.678677556533543
11,20,100,0.5,Dynamic,11.058092796744875
0,20,100,0.7,1,13.963290366285085
1,20,100,0.7,2,14.557032655721606
2,20,100,0.7,3,13.760034965776244
3,20,100,0.7,4,12.52366094233284
4,20,100,0.7,5,10.8183120123405
5,20,100,0.7,7,7.33678544354218
6,20,100,0.7,9,3.7363677388588847
7,20,100,0.7,12,-1.8773053326194544
8,20,100,0.7,15,-7.523004801700699
9,20,100,0.7,20,-16.926760803826575
10,20,100,0.7,Optimal,16.63472558273283
11,20,100,0.7,Dynamic,14.388090484910874
0,20,100,0.8,1,15.385645874446668
1,20,100,0.8,2,15.710034934407622
2,20,100,0.8,3,14.658106843151705
3,20,100,0.8,4,13.119548535809313
4,20,100,0.8,5,11.364123506934568
5,20,100,0.8,7,7.7363536341924375
6,20,100,0.8,9,3.8950375918033036
7,20,100,0.8,12,-1.949889323973502
8,20,100,0.8,15,-7.830026317730897
9,20,100,0.8,20,-17.617559214894513
10,20,100,0.8,Optimal,17.568698982988266
11,20,100,0.8,Dynamic,16.041357764515823
0,20,100,0.85,1,16.563143178346014
1,20,100,0.85,2,16.195578407753327
2,20,100,0.85,3,14.825929643252914
3,20,100,0.85,4,13.131780531158672
4,20,100,0.85,5,11.385702429403874
5,20,100,0.85,7,7.7282845627398045
6,20,100,0.85,9,3.8641422813699022
7,20,100,0.85,12,-1.9320711406849511
8,20,100,0.85,15,-7.7282845627398045
9,20,100,0.85,20,-17.388640266164558
10,20,100,0.85,Optimal,17.990409188784596
11,20,100,0.85,Dynamic,16.60263127476638
0,20,100,0.9,1,18.073712519825964
1,20,100,0.9,2,17.56623323918831
2,20,100,0.9,3,15.724194339765031
3,20,100,0.9,4,13.805414716748837
4,20,100,0.9,5,11.851335836239329
5,20,100,0.9,7,7.913463176451464
6,20,100,0.9,9,3.9670118948279196
7,20,100,0.9,12,-1.9835059474139598
8,20,100,0.9,15,-7.934023789655839
9,20,100,0.9,20,-17.85155352672564
10,20,100,0.9,Optimal,19.044586960594962
11,20,100,0.9,Dynamic,18.282524107596306
0,20,100,0.95,1,18.443607235800524
1,20,100,0.95,2,17.305719070947806
2,20,100,0.95,3,15.558452069557111
3,20,100,0.95,4,13.678795591315213
4,20,100,0.95,5,11.735996952440553
5,20,100,0.95,7,7.836499901849335
6,20,100,0.95,9,3.9182499509246673
7,20,100,0.95,12,-1.9591249754623337
